id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
103773999;369484155;HWH;HWH;2;8800;2022-11-18 13:46:12+00;30289;28885;559;100336063;106626370;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 21]], ""id_trips"": [103773999, 106548868], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
106626370;369484155;HOH;HOH;2;6600;2022-11-18 22:20:20+00;11178;10109;540;103773999;106801023;"{""legs"": [[1000638, 1000617, 22], [1000705, 1000603, 1]], ""id_trips"": [106626370, 106798702], ""id_zones"": [1000638, 1000617, 1000638], ""id_staypoints"": [64076016, 63960193, 64076016]}"
106801023;369484155;HH;H;1;700;2022-11-19 01:35:38+00;164;0;101845;106626370;71038090;"{""legs"": [[1000603, 1000638, 1]], ""id_trips"": [106801023], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
71038090;369484155;HWH;HWH;2;8700;2022-11-20 05:55:47+00;31171;29749;5727;106801023;73430935;"{""legs"": [[1000638, 1000947, 5], [1000947, 1000638, 14]], ""id_trips"": [71038090, 72847687], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
73430935;369484155;HOOOOOH;HOH;6;11300;2022-11-20 16:10:45+00;107407;105381;114159;71038090;87127835;"{""legs"": [[1000638, 1000602, 16], [1000602, 1000646, 16], [1000618, 1000602, 16], [1000602, 1000608, 17], [1000919, 1000637, 21]], ""id_trips"": [73430935, 73440157, 73455142, 73711992, 73729287, 80039004], ""id_zones"": [1000638, 1000625, 1000646, 1000625, 1000608, 1000638], ""id_staypoints"": [64076016, 63961516, 73442460, 63961516, 73721596, 73730937, 64076016]}"
87127835;369484155;HWH;HWH;2;9200;2022-11-23 05:43:31+00;31943;30039;54671;73430935;94532655;"{""legs"": [[1000638, 1000947, 5], [1000947, 1000638, 14]], ""id_trips"": [87127835, 91397807], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
94532655;369484155;HWH;HWH;2;9200;2022-11-24 05:47:05+00;31417;29683;83513;87127835;103857015;"{""legs"": [[1000638, 1000947, 5], [1000947, 1000638, 14]], ""id_trips"": [94532655, 98040752], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
103857015;369484155;HWH;HWH;2;10200;2022-11-25 13:42:35+00;30831;29057;56033;94532655;109451884;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 22]], ""id_trips"": [103857015, 106644999], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
109451884;369484155;HWH;HWH;2;8900;2022-11-26 13:50:19+00;29067;27591;859;103857015;111553249;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 21]], ""id_trips"": [109451884, 111453265], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
111553249;369484155;HOH;HOH;2;2500;2022-11-26 22:09:05+00;21506;21082;393;109451884;71011006;"{""legs"": [[1000638, 1000625, 22], [1000612, 1000603, 4]], ""id_trips"": [111553249, 71010275], ""id_zones"": [1000638, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 64076016]}"
71011006;369484155;HH;H;1;600;2022-11-27 04:14:04+00;140;0;233;111553249;71011605;"{""legs"": [[1000639, 1000638, 4]], ""id_trips"": [71011006], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
